message,actual_label
"Congratulations! You've won $1,000,000! Click here to claim your prize now! Limited time offer!",spam
"Hi John, I hope this email finds you well. I wanted to follow up on our meeting yesterday.",ham
"URGENT: Your bank account has been compromised. Verify your details immediately to avoid closure.",spam
"Hey! Are we still on for dinner tonight? Let me know if you need me to pick anything up.",ham
"FREE MONEY! No strings attached! Make $5000 per week working from home!",spam
"Thank you for subscribing to our newsletter. Here are this week's top technology updates.",ham
"Your credit card has been charged $500. Click here to dispute this transaction immediately.",spam
"Meeting scheduled for tomorrow at 3 PM in the conference room. Please bring your reports.",ham
"Hot singles in your area want to meet you! Click here to see profiles now!",spam
"Could you please review the attached document and provide your feedback by Friday?",ham
"FINAL NOTICE: Your warranty is about to expire! Renew now to avoid losing coverage!",spam
"Thanks for your help with the project. The client was very impressed with our work.",ham
"You've been pre-approved for a $50,000 loan! No credit check required!",spam
"Reminder: Team building event next Friday. Please confirm your attendance.",ham
"Click here to claim your free iPhone 15! Limited quantities available!",spam
"The quarterly financial results look very promising this year. Great job everyone!",ham
"BREAKING: Local mom discovers weight loss secret doctors don't want you to know!",spam
"Please update your contact information in the employee database when you have time.",ham
"Your computer is infected with 247 viruses! Download our antivirus software now!",spam
"Looking forward to our collaboration on the new marketing campaign next month.",ham
